Device: cuda
--> Splitting data using NTU X-Sub protocol...

=== Dataset Summary ===
Total folders: 10
Train files: 17732 | Val files: 8202
========================

--> No valid checkpoint found or RESUME_PATH is None. Training from scratch.
Starting training for 400 epochs...
Ep 145| LR: 7.56e-04 | Train Loss: 1.3941 | Train Acc: 86.45% | Val Acc: 83.55%
Ep 146| LR: 7.52e-04 | Train Loss: 1.3506 | Train Acc: 87.20% | Val Acc: 83.64%
Ep 147| LR: 7.49e-04 | Train Loss: 1.3221 | Train Acc: 88.20% | Val Acc: 83.80%
Ep 148| LR: 7.45e-04 | Train Loss: 1.4139 | Train Acc: 85.43% | Val Acc: 83.52%
Ep 149| LR: 7.42e-04 | Train Loss: 1.3113 | Train Acc: 88.33% | Val Acc: 83.04%
Ep 150| LR: 7.38e-04 | Train Loss: 1.3693 | Train Acc: 86.73% | Val Acc: 84.35%
Ep 151| LR: 7.34e-04 | Train Loss: 1.3802 | Train Acc: 86.14% | Val Acc: 84.22%
Ep 152| LR: 7.31e-04 | Train Loss: 1.3563 | Train Acc: 87.55% | Val Acc: 84.63%
Ep 153| LR: 7.27e-04 | Train Loss: 1.3756 | Train Acc: 86.58% | Val Acc: 83.94%
Ep 154| LR: 7.23e-04 | Train Loss: 1.3461 | Train Acc: 86.37% | Val Acc: 83.60%
Ep 155| LR: 7.20e-04 | Train Loss: 1.3498 | Train Acc: 86.91% | Val Acc: 84.31%
Ep 156| LR: 7.16e-04 | Train Loss: 1.3231 | Train Acc: 87.27% | Val Acc: 85.00%
Ep 157| LR: 7.12e-04 | Train Loss: 1.3338 | Train Acc: 87.36% | Val Acc: 83.74%
Ep 158| LR: 7.08e-04 | Train Loss: 1.3282 | Train Acc: 88.17% | Val Acc: 83.64%
Ep 159| LR: 7.05e-04 | Train Loss: 1.3814 | Train Acc: 86.28% | Val Acc: 84.50%
Ep 160| LR: 7.01e-04 | Train Loss: 1.3025 | Train Acc: 88.08% | Val Acc: 83.03%
Ep 161| LR: 6.97e-04 | Train Loss: 1.3790 | Train Acc: 86.95% | Val Acc: 83.76%
Ep 162| LR: 6.93e-04 | Train Loss: 1.3374 | Train Acc: 87.38% | Val Acc: 84.74%
Ep 163| LR: 6.89e-04 | Train Loss: 1.3304 | Train Acc: 88.13% | Val Acc: 83.78%
Ep 164| LR: 6.86e-04 | Train Loss: 1.3074 | Train Acc: 89.10% | Val Acc: 84.87%
Ep 165| LR: 6.82e-04 | Train Loss: 1.3544 | Train Acc: 87.02% | Val Acc: 83.32%
Ep 166| LR: 6.78e-04 | Train Loss: 1.3375 | Train Acc: 87.99% | Val Acc: 84.19%
Ep 167| LR: 6.74e-04 | Train Loss: 1.3544 | Train Acc: 86.76% | Val Acc: 84.61%
Ep 168| LR: 6.70e-04 | Train Loss: 1.3163 | Train Acc: 87.53% | Val Acc: 84.81%
Ep 169| LR: 6.66e-04 | Train Loss: 1.3715 | Train Acc: 86.63% | Val Acc: 84.52%
Ep 170| LR: 6.62e-04 | Train Loss: 1.3928 | Train Acc: 85.82% | Val Acc: 83.85%
Ep 171| LR: 6.58e-04 | Train Loss: 1.3189 | Train Acc: 87.67% | Val Acc: 84.91%
Ep 172| LR: 6.55e-04 | Train Loss: 1.2828 | Train Acc: 88.68% | Val Acc: 83.75%
Ep 173| LR: 6.51e-04 | Train Loss: 1.3365 | Train Acc: 87.27% | Val Acc: 83.39%
Ep 174| LR: 6.47e-04 | Train Loss: 1.3186 | Train Acc: 88.33% | Val Acc: 84.49%
Ep 175| LR: 6.43e-04 | Train Loss: 1.3205 | Train Acc: 88.17% | Val Acc: 85.02%
Ep 176| LR: 6.39e-04 | Train Loss: 1.3909 | Train Acc: 87.39% | Val Acc: 84.55%
Ep 177| LR: 6.35e-04 | Train Loss: 1.2454 | Train Acc: 89.80% | Val Acc: 84.78%
Ep 178| LR: 6.31e-04 | Train Loss: 1.3372 | Train Acc: 87.77% | Val Acc: 84.99%
Ep 179| LR: 6.27e-04 | Train Loss: 1.4060 | Train Acc: 85.86% | Val Acc: 84.61%
Ep 180| LR: 6.23e-04 | Train Loss: 1.2537 | Train Acc: 89.87% | Val Acc: 83.89%
Ep 181| LR: 6.19e-04 | Train Loss: 1.3128 | Train Acc: 88.02% | Val Acc: 84.36%
Ep 182| LR: 6.15e-04 | Train Loss: 1.3058 | Train Acc: 88.59% | Val Acc: 84.48%
Ep 183| LR: 6.11e-04 | Train Loss: 1.2898 | Train Acc: 88.78% | Val Acc: 84.67%
Ep 184| LR: 6.07e-04 | Train Loss: 1.2709 | Train Acc: 89.01% | Val Acc: 85.49%
Ep 185| LR: 6.03e-04 | Train Loss: 1.3039 | Train Acc: 88.44% | Val Acc: 84.92%
Ep 186| LR: 5.99e-04 | Train Loss: 1.3254 | Train Acc: 87.77% | Val Acc: 84.08%
Ep 187| LR: 5.95e-04 | Train Loss: 1.2833 | Train Acc: 88.58% | Val Acc: 85.17%
Ep 188| LR: 5.90e-04 | Train Loss: 1.3271 | Train Acc: 87.81% | Val Acc: 84.85%
Ep 189| LR: 5.86e-04 | Train Loss: 1.3214 | Train Acc: 88.00% | Val Acc: 83.66%
Ep 190| LR: 5.82e-04 | Train Loss: 1.2502 | Train Acc: 89.94% | Val Acc: 83.96%
Ep 191| LR: 5.78e-04 | Train Loss: 1.2921 | Train Acc: 88.83% | Val Acc: 84.83%
Ep 192| LR: 5.74e-04 | Train Loss: 1.3027 | Train Acc: 89.03% | Val Acc: 84.60%
Ep 193| LR: 5.70e-04 | Train Loss: 1.3028 | Train Acc: 88.96% | Val Acc: 85.37%
Ep 194| LR: 5.66e-04 | Train Loss: 1.3589 | Train Acc: 87.08% | Val Acc: 84.27%
Ep 195| LR: 5.62e-04 | Train Loss: 1.2866 | Train Acc: 88.39% | Val Acc: 85.03%
Ep 196| LR: 5.58e-04 | Train Loss: 1.3203 | Train Acc: 88.45% | Val Acc: 85.00%
Ep 197| LR: 5.54e-04 | Train Loss: 1.2806 | Train Acc: 89.19% | Val Acc: 85.45%
Ep 198| LR: 5.50e-04 | Train Loss: 1.3301 | Train Acc: 87.81% | Val Acc: 83.37%
Ep 199| LR: 5.45e-04 | Train Loss: 1.3050 | Train Acc: 89.06% | Val Acc: 84.77%
Ep 200| LR: 5.41e-04 | Train Loss: 1.2594 | Train Acc: 89.32% | Val Acc: 84.75%
Ep 201| LR: 5.37e-04 | Train Loss: 1.2821 | Train Acc: 88.44% | Val Acc: 84.81%
Ep 202| LR: 5.33e-04 | Train Loss: 1.3054 | Train Acc: 88.47% | Val Acc: 84.75%
Ep 203| LR: 5.29e-04 | Train Loss: 1.2478 | Train Acc: 90.58% | Val Acc: 85.11%
Ep 204| LR: 5.25e-04 | Train Loss: 1.2328 | Train Acc: 89.67% | Val Acc: 84.92%
Ep 205| LR: 5.21e-04 | Train Loss: 1.3315 | Train Acc: 87.08% | Val Acc: 85.15%
Ep 206| LR: 5.17e-04 | Train Loss: 1.2625 | Train Acc: 88.61% | Val Acc: 84.61%
Ep 207| LR: 5.12e-04 | Train Loss: 1.3451 | Train Acc: 87.28% | Val Acc: 85.02%
Ep 208| LR: 5.08e-04 | Train Loss: 1.3061 | Train Acc: 88.91% | Val Acc: 84.67%
Ep 209| LR: 5.04e-04 | Train Loss: 1.2991 | Train Acc: 87.69% | Val Acc: 85.42%
Ep 210| LR: 5.00e-04 | Train Loss: 1.2700 | Train Acc: 88.99% | Val Acc: 84.61%
Ep 211| LR: 4.96e-04 | Train Loss: 1.2156 | Train Acc: 90.91% | Val Acc: 85.14%
Ep 212| LR: 4.92e-04 | Train Loss: 1.3000 | Train Acc: 87.86% | Val Acc: 84.93%
