,drink water,eat meal/snack,brushing teeth,brushing hair,drop,pickup,throw,sit down,stand up,clapping,reading,writing,tear up paper,put on jacket,take off jacket,put on a shoe,take off a shoe,put on glasses,take off glasses,put on a hat/cap,take off a hat/cap,cheer up,hand waving,kicking something,reach into pocket,hopping,jump up,phone call,play with phone/tablet,type on a keyboard,point to something,taking a selfie,check time (from watch),rub two hands,nod head/bow,shake head,wipe face,salute,put palms together,cross hands in front,sneeze/cough,staggering,falling,headache,chest pain,back pain,neck pain,nausea/vomiting,fan self,punch/slap,kicking other person,pushing other person,pat on back,point finger at other,hugging other person,giving object to other,touch other person's pocket,shaking hands,walking towards each other,walking apart from each other
check time (from watch),0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,6,146,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rub two hands,0,0,1,0,0,0,0,0,0,19,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,129,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
nod head/bow,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
shake head,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,161,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wipe face,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,1,0,0,9,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
salute,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,154,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
put palms together,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,158,3,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cross hands in front,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sneeze/cough,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,136,0,0,1,4,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0
staggering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
