epoch,train_loss,val_loss,train_acc,val_acc,precision_macro,recall_macro,f1_macro,top5_acc
204,1.232802,1.209908,89.67,84.92,0.8528,0.8492,0.8477,97.31
205,1.331526,1.213536,87.08,85.15,0.8558,0.8515,0.8489,97.43
206,1.262483,1.206885,88.61,84.61,0.8500,0.8462,0.8444,97.37
207,1.345064,1.227945,87.28,85.02,0.8545,0.8502,0.8487,97.61
208,1.306111,1.221082,88.91,84.67,0.8503,0.8468,0.8446,97.43
209,1.299114,1.189936,87.69,85.42,0.8575,0.8542,0.8532,97.56
210,1.270012,1.208325,88.99,84.61,0.8482,0.8462,0.8442,97.56
211,1.215621,1.183626,90.91,85.14,0.8549,0.8514,0.8503,97.72
212,1.300040,1.189595,87.86,84.93,0.8525,0.8493,0.8488,97.60
213,1.276339,1.192570,89.03,85.16,0.8501,0.8517,0.8482,97.16
214,1.290270,1.200931,88.78,85.09,0.8531,0.8509,0.8488,97.62
215,1.260237,1.185197,89.54,85.47,0.8547,0.8547,0.8524,97.34
216,1.317421,1.190977,87.84,84.81,0.8501,0.8481,0.8465,97.66
217,1.248752,1.182694,90.41,85.83,0.8604,0.8584,0.8571,97.89
218,1.227741,1.204393,90.66,85.33,0.8561,0.8534,0.8510,97.49
219,1.277875,1.188348,89.45,85.45,0.8557,0.8546,0.8522,97.43
220,1.273714,1.191446,88.53,85.49,0.8556,0.8549,0.8516,97.60
221,1.272040,1.204642,89.49,84.80,0.8497,0.8480,0.8465,97.51
222,1.273550,1.194686,89.93,85.03,0.8514,0.8503,0.8485,97.40
223,1.264649,1.187559,89.25,85.77,0.8601,0.8577,0.8561,97.42
224,1.283690,1.174595,89.06,85.69,0.8572,0.8569,0.8549,97.66
225,1.288005,1.171888,88.66,85.84,0.8578,0.8585,0.8563,97.49
226,1.220190,1.177401,90.54,85.54,0.8556,0.8554,0.8536,97.61
227,1.253948,1.196073,89.36,85.33,0.8555,0.8534,0.8518,97.45
228,1.242541,1.215981,90.28,84.41,0.8480,0.8441,0.8410,97.29
229,1.218302,1.197144,90.46,85.42,0.8563,0.8542,0.8528,97.77
230,1.221094,1.177046,90.61,85.99,0.8595,0.8599,0.8573,97.34
231,1.359098,1.233164,86.41,84.83,0.8521,0.8484,0.8454,97.13
232,1.262037,1.183954,89.58,85.84,0.8610,0.8585,0.8551,97.54
233,1.217905,1.199221,89.91,84.99,0.8504,0.8499,0.8458,97.48
234,1.301768,1.179692,88.17,85.94,0.8608,0.8594,0.8580,97.51
235,1.249507,1.270371,89.51,84.66,0.8469,0.8466,0.8436,97.34
236,1.231753,1.174587,90.28,85.69,0.8586,0.8569,0.8555,97.79
237,1.240987,1.201326,89.95,85.31,0.8568,0.8531,0.8523,97.67
238,1.260969,1.209306,90.16,85.04,0.8536,0.8504,0.8481,97.37
239,1.273375,1.180129,89.51,85.77,0.8579,0.8578,0.8559,97.61
240,1.307579,1.193851,87.68,86.03,0.8597,0.8603,0.8573,97.38
